"","subID","cultureEA","avatar_ori","prac1","prac1_rt_Page.Submit","raw1","raw1_rt_Page.Submit","raw2","raw2_rt_Page.Submit","raw3","seq3_rt_Page.Submit","raw4","raw4_rt_Page.Submit","raw5","raw5_rt_Page.Submit","raw6","raw6_rt_Page.Submit","raw7","raw7_rt_Page.Submit","raw8","raw8_rt_Page.Submit","raw9","raw9_rt_Page.Submit","raw10","raw10_rt_Page.Submit","raw11","raw11_rt_Page.Submit","raw12","raw12_rt_Page.Submit","raw13","raw13_rt_Page.Submit","raw14","raw14_rt_Page.Submit","raw15","raw15_rt_Page.Submit","raw16","raw16_rt_Page.Submit","raw17","raw17_rt_Page.Submit","raw18","raw18_rt_Page.Submit","raw19","raw19_rt_Page.Submit","raw20","raw20_rt_Page.Submit","raw21","raw21_rt_Page.Submit","raw22","raw22_rt_Page.Submit","raw23","raw23_rt_Page.Submit","raw24","raw24_rt_Page.Submit","raw25","raw25_rt_Page.Submit","raw26","raw26_rt_Page.Submit","raw27","raw27_rt_Page.Submit","raw28","raw28_rt_Page.Submit","raw29","raw29_rt_Page.Submit","raw30","raw30_rt_Page.Submit","raw31","raw31_rt_Page.Submit","raw32","raw32_rt_Page.Submit","raw33","raw33_rt_Page.Submit","raw34","raw34_rt_Page.Submit","raw35","raw35_rt_Page.Submit","raw36","raw36_rt_Page.Submit","vale1","arou1","trait1_Competent","trait1_Trustworthy","trait1_FinanciallyNeedy","trait1_Dominant","trait1_Selfish","trait1_Friendly","trait1_aGoodPerson","vale2","arou2","trait2_Competent","trait2_Trustworthy","trait2_FinanciallyNeedy","trait2_Dominant","trait2_Selfish","trait2_Friendly","trait2_aGoodPerson","vale3","arou3","trait3_Competent","trait3_Trustworthy","trait3_FinanciallyNeedy","trait3_Dominant","trait3_Selfish","trait3_Friendly","trait3_aGoodPerson","vale4","arou4","trait4_Competent","trait4_Trustworthy","trait4_FinanciallyNeedy","trait4_Dominant","trait4_Selfish","trait4_Friendly","trait4_aGoodPerson","vale5","arou5","trait5_Competent","trait5_Trustworthy","trait5_FinanciallyNeedy","trait5_Dominant","trait5_Selfish","trait5_Friendly","trait5_aGoodPerson","vale6","arou6","trait6_Competent","trait6_Trustworthy","trait6_FinanciallyNeedy","trait6_Dominant","trait6_Selfish","trait6_Friendly","trait6_aGoodPerson","vale7","arou7","trait7_Competent","trait7_Trustworthy","trait7_FinanciallyNeedy","trait7_Dominant","trait7_Selfish","trait7_Friendly","trait7_aGoodPerson","vale8","arou8","trait8_Competent","trait8_Trustworthy","trait8_FinanciallyNeedy","trait8_Dominant","trait8_Selfish","trait8_Friendly","trait8_aGoodPerson","vale9","arou9","trait9_Competent","trait9_Trustworthy","trait9_FinanciallyNeedy","trait9_Dominant","trait9_Selfish","trait9_Friendly","trait9_aGoodPerson","vale10","arou10","trait10_Competent","trait10_Trustworthy","trait10_FinanciallyNeedy","trait10_Dominant","trait10_Selfish","trait10_Friendly","trait10_aGoodPerson","vale11","arou11","trait11_Competent","trait11_Trustworthy","trait11_FinanciallyNeedy","trait11_Dominant","trait11_Selfish","trait11_Friendly","trait11_aGoodPerson","vale12","arou12","trait12_Competent","trait12_Trustworthy","trait12_FinanciallyNeedy","trait12_Dominant","trait12_Selfish","trait12_Friendly","trait12_aGoodPerson","vale13","arou13","trait13_Competent","trait13_Trustworthy","trait13_FinanciallyNeedy","trait13_Dominant","trait13_Selfish","trait13_Friendly","trait13_aGoodPerson","vale14","arou14","trait14_Competent","trait14_Trustworthy","trait14_FinanciallyNeedy","trait14_Dominant","trait14_Selfish","trait14_Friendly","trait14_aGoodPerson","vale15","arou15","trait15_Competent","trait15_Trustworthy","trait15_FinanciallyNeedy","trait15_Dominant","trait15_Selfish","trait15_Friendly","trait15_aGoodPerson","vale16","arou16","trait16_Competent","trait16_Trustworthy","trait16_FinanciallyNeedy","trait16_Dominant","trait16_Selfish","trait16_Friendly","trait16_aGoodPerson","vale17","arou17","trait17_Competent","trait17_Trustworthy","trait17_FinanciallyNeedy","trait17_Dominant","trait17_Selfish","trait17_Friendly","trait17_aGoodPerson","vale18","arou18","trait18_Competent","trait18_Trustworthy","trait18_FinanciallyNeedy","trait18_Dominant","trait18_Selfish","trait18_Friendly","trait18_aGoodPerson","r1_1","r1_2","r1_3","r1_4","r1_5","r1_6","r1_7","r1_8","r1_9","r1_10","r2_1","r2_2","r2_3","r2_4","r2_5","r2_6","r2_7","r2_8","r2_9","r2_10","r3_1","r3_2","r3_3","r3_4","r3_5","r3_6","r3_7","r3_8","r3_9","r3_10","r4_1","r4_2","r4_3","r4_4","r4_5","r4_6","r4_7","r4_8","r4_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i2_1","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i3_1","i3_2","i3_3","i3_4","i3_5","i3_6","i3_7","i3_8","i3_9","i3_10","i4_1","i4_2","i4_3","i4_4","i4_5","i4_6","i4_7","i4_8","i4_9","value_1","value_2","value_3","value_4","value_5","value_6","value_7","value_8","value_9","iri1","iri2","iri3","iri4","iri5","iri6","iri7","iri8","iri9","iri10","iri11","iri12","iri13","iri14","iri15","iri16","iri17","iri18","iri19","iri20","iri21","iri22","iri23","iri24","iri25","iri26","iri27","iri28","tipi_1","tipi_2","tipi_3","tipi_4","tipi_5","tipi_6","tipi_7","tipi_8","tipi_9","tipi_10","age","Q509","Q509_8_TEXT","gender","gender_3_TEXT","sexualpref","sexualpref_5_TEXT","born1","born1_txt","raise1","raise1_txt","born2","born2_txt","raise2","raise2_txt","ethni2","ethni2_txt","born3","born3_txt","raise3","raise3_txt","ethni3","ethni3_txt","born4","born4_txt","raise4","raise4_txt","born5","born5_txt","raise5","raise5_txt","born6","born6_txt","raise6","raise6_txt","born7","born7_txt","raise7","raise7_txt","econ1","econ2","econ2_6_TEXT","ladder1","ladder2","famises1","famises2","econinde","selfses1","selfses2","didbefore","didbefore_","order","famises2_numbered","selfses2_numbered","gender_nonfemale","sexualpref_nonhetero","ethn_nonmajority","exclude_age","exclude_sd"
"50","R_10TRrzBH16SJHME",1,"4-a","$1","6.128",0,10.978,0,3.401,1,"2.58",1,5.537,1,2.445,1,2.101,1,1.911,1,3.985,1,3.497,1,6.111,1,2.567,1,2.449,1,2.667,1,2.488,1,3.01,1,3.616,1,2.196,1,3.291,1,2.491,1,2.083,1,2.332,1,1.6,1,3.05,1,2.122,1,2.016,1,2.49,1,2.322,1,2.041,1,1.995,1,1.455,1,2.792,1,1.612,1,3.35,1,2.139,1,2.752,1,2.509,1,5,1,1,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,3,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,3,4,4,2,4,4,4,4,4,2,4,4,1,4,4,4,4,4,3,1,2,2,2,3,3,2,2,3,3,2,2,2,4,2,2,2,2,1,4,2,5,2,2,2,5,3,2,3,2,3,1,1,3,1,1,3,2,4,1,1,1,3,5,3,1,4,1,2,1,5,1,5,1,1,1,3,1,5,2,5,1,2,1,5,5,5,5,2,5,1,1,1,1,1,1,1,4,1,1,4,4,0,2,2,1,3,4,1,2,4,5,1,4,5,3,4,2,3,1,2,3,5,2,3,3,4,3,3,3,2,5,3,3,5,2,7,3,4,2,5,1,4,3,23,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",8,1,"Upperincome","over
$100,000","Yes","Middleincome","$40,001 -
$50,000","Yes","I've taken psychology classes","3",8,5,0,0,0,0,0
"51","R_2S0pEpb5h5IIFzO",1,"4-c","$2","11.08",2,4.003,2,2.55,2,"2.23",2,2.499,2,2.878,2,3.19,2,3.343,2,2.833,2,2.538,2,2.088,2,3.439,2,3.998,2,3.67,2,2.084,0,10.299,0,1.682,0,2.145,0,2.594,0,2.541,0,2.385,0,3.753,0,2.67,0,2.167,0,14.172,0,2.303,0,2.898,0,2.859,0,4.787,0,1.701,0,3.247,0,1.987,0,2.2,0,2.798,0,2.161,0,3.773,0,3.734,6,5,6,5,4,5,4,6,5,3,5,5,5,4,5,5,4,4,6,4,6,6,4,5,4,6,6,6,5,6,5,4,5,4,6,5,4,5,6,5,5,5,5,4,5,5,5,6,5,4,5,4,6,6,6,5,6,5,4,5,4,6,6,5,5,6,5,4,5,5,4,5,6,5,6,5,4,5,4,6,6,5,5,5,5,4,4,4,6,5,4,4,5,5,4,4,5,5,5,6,4,5,5,4,4,4,6,6,5,5,6,5,4,5,4,6,6,3,5,5,4,4,5,5,4,5,6,4,6,5,4,4,4,6,6,6,5,5,5,4,5,4,6,6,4,4,5,4,4,5,5,4,5,5,5,6,5,4,4,4,6,6,4,2,2,2,2,3,4,3,3,3,3,2,3,2,3,2,2,1,2,2,4,2,3,2,3,1,4,2,3,3,2,3,1,1,2,1,1,1,1,4,2,1,1,2,4,4,4,4,1,3,1,5,1,4,1,2,1,3,1,5,2,4,1,3,1,5,5,4,4,1,5,1,1,1,1,1,1,1,3,3,0,3,3,2,3,2,1,4,4,2,2,3,3,3,4,4,3,4,3,4,2,2,2,2,2,4,4,4,4,3,2,4,3,2,4,6,2,6,2,6,2,6,2,6,3,33,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",6,7,"Upperincome","over
$100,000","Yes","Middleincome","$30,001 - $40,000","Yes","Giving money to hypothetical partners, but not following pictures, following a game","1",8,4,0,0,0,1,0
"52","R_1lz95CAAQBw69ag",1,"2-c","$3","10.475",4,6.192,6,2.477,3,"6.381",4,4.574,0,1.878,6,1.555,1,1.728,1,4.552,6,1.556,0,2.281,0,1.712,3,3.457,0,3.563,0,4.336,5,2.342,0,1.999,6,2.477,0,1.921,0,1.946,1,1.849,0,2.147,6,2.078,4,4.515,6,2.53,6,2.292,0,4.926,0,2.104,2,2.682,2,2.146,0,2.429,6,5.706,6,1.59,3,5.488,6,7.534,4,6.648,0,5.931,5,4,4,4,2,2,2,4,4,3,1,4,1,4,4,4,1,2,5,2,1,4,4,4,4,7,4,3,1,3,2,6,7,7,1,1,5,4,4,4,4,4,2,5,5,3,1,1,4,5,1,1,7,4,6,6,5,5,2,4,2,6,5,1,1,4,1,7,7,7,1,1,5,4,2,5,4,1,4,6,4,4,1,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,3,1,1,1,7,1,7,4,2,5,5,5,5,2,4,2,5,5,3,1,5,3,5,5,5,1,3,5,3,4,4,4,4,4,5,4,5,1,5,5,3,6,4,3,4,5,4,5,5,5,3,4,3,4,5,1,1,6,6,1,1,7,4,4,2,3,3,2,3,3,2,3,5,1,3,2,3,3,4,3,2,3,2,4,2,3,2,4,2,3,1,2,2,2,3,2,2,4,2,2,3,2,4,2,1,1,2,5,5,2,5,1,4,1,5,2,5,1,1,1,5,1,5,2,4,1,2,1,5,5,4,4,1,5,1,1,1,1,1,1,1,3,0,0,2,4,0,4,0,1,2,2,5,5,2,1,2,3,5,4,1,1,4,1,3,1,3,1,4,3,2,3,3,2,1,3,2,1,4,5,5,4,5,5,5,5,3,3,32,"White/Caucasian/European American","","Male","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",6,5,"Upper-Middleincome","$75,001 -
$100,000","Yes","Middleincome","$75,001 -
$100,000","No","","4",7,7,1,0,0,1,0
"53","R_1C92hP9joEqXVja",1,"4-b","$1","9.545",1,2.12,0,5.286,1,"2.515",0,2.012,0,1.405,0,1.849,0,2.871,1,2.039,0,1.952,1,1.728,2,3.237,0,3.495,0,2.766,0,3.17,1,2.932,0,2.678,0,2.007,1,2.352,0,1.615,1,2.386,1,1.771,0,57.262,0,4.8,1,2.362,0,3.776,1,7.6,0,3.127,1,2.485,0,3.67,2,2.15,0,2.576,1,2.105,0,2.51,1,8.647,0,2.399,0,10.106,5,1,5,5,3,4,2,5,5,4,1,5,5,4,3,3,4,4,5,2,3,4,3,3,4,6,5,3,3,4,4,3,6,7,4,3,4,1,6,6,3,4,3,5,5,6,1,5,6,3,4,3,6,5,4,1,5,6,4,4,3,6,6,2,5,5,2,3,6,6,3,2,6,1,6,6,3,4,3,6,6,4,1,6,6,3,5,5,4,5,3,1,5,4,4,4,4,3,3,3,4,3,2,3,7,7,4,2,5,1,6,6,3,3,2,5,5,4,1,5,5,3,5,4,4,4,6,2,3,3,3,3,6,4,2,3,2,4,3,3,6,6,4,3,4,1,5,5,4,4,3,5,4,7,1,5,5,4,4,4,5,4,3,1,3,2,3,3,3,2,2,3,3,2,4,2,3,2,2,2,2,2,4,2,3,2,3,1,3,3,3,2,1,3,1,1,2,1,1,2,2,4,1,1,1,3,3,4,2,4,1,3,1,5,1,5,1,1,1,3,1,5,2,4,1,4,1,5,5,5,2,1,5,1,1,1,1,1,1,1,4,3,1,3,4,2,3,2,1,5,4,2,4,2,2,3,3,5,4,5,4,4,1,2,5,2,1,5,5,5,5,5,2,2,2,1,2,5,6,7,4,7,5,7,1,7,1,20,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",5,2,"Middleincome","$50,001 -
$75,000","No","Middleincome","less than
$10,000","No","","2",6,1,0,0,0,0,0
"54","R_3DvuYtDNRCSSWc5",1,"4-b","$1","10.561",0,1.841,0,1.977,0,"1.724",1,2.223,0,3.7,0,3.636,0,2.872,0,2.756,0,1.622,0,2.512,1,1.623,0,1.753,0,1.793,0,2.932,0,1.611,0,1.611,0,1.793,0,2.339,0,2.924,0,1.967,0,2.389,0,4.044,0,2.072,0,1.692,0,2.518,0,1.965,1,1.773,0,1.9,0,1.594,0,4.775,0,1.996,0,2.472,0,2.287,0,2.693,0,4.035,1,15.1,5,4,4,4,4,3,3,5,5,4,4,4,4,4,4,4,4,4,3,5,3,3,4,4,4,4,4,3,4,4,4,4,5,6,4,3,4,4,3,4,4,3,4,4,4,3,5,3,3,4,4,5,5,4,4,5,3,3,5,3,4,4,4,4,4,4,3,3,5,5,4,4,5,5,4,4,4,3,3,4,4,4,4,4,4,4,4,5,4,3,5,5,4,4,4,3,4,4,4,3,5,3,3,4,4,4,3,3,5,4,4,5,4,3,3,6,6,4,4,4,4,4,4,4,4,4,5,6,3,3,5,4,4,4,4,3,4,4,3,4,5,5,4,4,5,4,3,4,4,2,3,4,4,3,5,3,3,4,4,4,4,4,2,2,2,3,3,3,2,2,1,3,2,2,2,2,3,3,3,2,1,1,2,3,4,2,3,2,3,3,3,2,3,3,1,1,2,1,2,3,2,2,2,2,2,2,4,3,2,2,2,2,2,4,2,4,1,1,2,2,1,4,2,3,2,3,1,4,4,4,3,2,3,1,1,2,1,1,1,2,3,3,1,2,3,1,2,2,2,2,3,2,3,4,4,4,5,4,4,5,3,4,3,2,1,3,2,4,4,5,3,2,2,4,3,2,4,4,3,5,5,6,5,5,5,6,6,19,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","No","Various countries in Europe","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","Netherlands","No","Netherlands","Yes","","Yes","","Yes","","Yes","","Yes","Have taken some classes in Economics","",7,5,"Upper-Middleincome","over
$100,000","No","I don'tknow","less than
$10,000","Yes","Other Stanford online study","2",8,1,0,0,0,0,0
"55","R_1E6YfPZ8N43sm0d",1,"4-a","$1","11.954",2,8.48,1,4.478,3,"3.182",3,5.754,1,2.813,2,4.074,3,2.798,4,2.967,2,3.112,2,5.6,3,3.35,3,2.707,0,4.378,2,5.157,2,4.998,2,2.854,2,3.695,2,6.832,1,5.8,3,3.155,3,2.148,3,4.846,2,7.358,3,5.448,1,4.436,4,2.637,4,2.073,3,2.161,1,2.102,2,2.261,3,3.531,2,2.506,1,2.75,3,6.078,2,2.699,2,54.464,3,1,3,3,3,3,3,3,3,4,1,4,4,4,4,4,4,4,5,2,5,5,3,4,3,5,5,6,2,5,5,2,2,2,6,6,2,1,3,3,3,4,3,3,3,4,1,4,4,4,4,4,4,4,5,1,4,4,4,4,3,4,4,4,1,4,4,4,4,3,4,4,4,1,3,3,3,3,3,3,3,4,1,4,4,4,4,3,4,4,4,1,3,3,3,3,3,3,3,5,1,4,4,3,3,3,5,5,5,1,4,4,4,4,4,4,4,3,1,3,3,3,3,3,3,3,5,1,4,4,3,3,3,4,4,4,1,3,3,3,3,3,4,4,3,1,3,3,5,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,2,2,1,3,3,2,2,4,2,1,2,2,2,3,2,1,2,1,4,2,3,2,4,1,2,2,2,2,1,2,1,1,2,1,2,4,1,4,2,1,1,2,5,4,2,3,1,3,1,5,1,5,1,1,1,2,1,5,3,5,1,4,1,4,5,5,3,1,4,1,1,1,1,1,1,1,3,0,0,3,3,1,3,1,0,3,5,2,2,4,4,1,4,5,4,4,3,3,1,3,3,4,1,3,4,4,4,3,2,3,3,3,4,4,3,7,5,4,4,5,2,5,3,26,"White/Caucasian/European American","","Female","","Homosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",7,5,"Upper-Middleincome","$50,001 -
$75,000","No","Middleincome","less than
$10,000","Yes","Pictures of people with percentages of how often they gave money back. Reminded me of that a little","3",6,1,0,1,0,0,0
"56","R_O9GuUUaqtt0467n",1,"1-b","$4","34.69",3,3.777,3,3.916,3,"19.272",3,4.508,3,4.673,3,3.813,3,7.022,3,3.567,3,9.011,3,6.959,3,4.443,3,3.541,3,4.062,3,3.125,3,4.525,3,3.2,3,3.015,3,4.795,3,3.892,3,3.706,3,7.883,3,4.677,3,4.235,3,8.275,3,3.57,3,3.74,3,4.938,3,4.974,3,3.866,3,3.698,3,4.072,3,4.094,3,3.268,3,4.429,3,14.489,3,15.853,5,1,4,4,4,2,2,4,4,3,1,3,2,4,5,5,2,2,6,1,4,4,3,2,2,6,5,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,6,1,5,5,3,2,2,6,5,4,1,4,4,4,4,4,4,4,2,1,4,2,2,6,6,1,1,7,1,4,5,4,2,2,6,6,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,6,5,5,1,4,4,4,4,4,5,5,4,1,4,4,4,4,4,4,4,5,1,5,5,4,3,3,6,5,4,1,4,4,4,4,4,3,3,4,1,4,4,4,4,4,3,3,6,1,4,4,4,3,3,6,5,2,2,4,2,2,2,2,2,1,5,2,4,2,3,1,4,4,4,1,2,2,2,1,4,1,1,1,1,1,1,1,2,1,1,4,1,1,4,2,3,2,2,1,3,3,2,2,2,1,3,2,4,2,5,1,2,2,2,1,4,2,3,1,2,1,5,4,4,4,1,3,1,1,2,1,1,1,1,1,2,0,0,1,1,3,1,0,5,5,1,1,5,4,1,5,5,4,5,1,1,1,1,5,1,1,4,5,4,5,4,1,4,4,4,5,2,1,6,7,6,5,6,3,4,1,29,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",5,8,"Upper-Middleincome","$75,001 -
$100,000","Yes","Middleincome","$40,001 -
$50,000","Yes","It was a Standford study focused on giving money to others based on the percentage of times they chose to give back half of that money.","4",7,5,0,0,0,0,1
"57","R_2Y3ewwjKvmguCfP",1,"4-b","$3","9.274",3,4.628,3,3.901,3,"3.852",3,4.816,3,5.627,3,10.752,3,2.976,3,2.865,3,3.051,3,3.483,3,5.343,3,2851.064,3,5.096,3,4.919,3,5.25,3,7.912,3,2.63,3,6.351,3,7.594,3,3.584,3,4.024,3,7.162,3,5.111,3,3.282,3,2.688,3,6.109,3,3.014,3,3.45,3,3.574,3,3.603,3,3.283,3,2.142,3,3.819,3,3.892,3,2.455,3,2.145,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,2,2,4,3,4,2,2,2,2,4,2,3,2,3,2,3,3,3,1,3,2,2,2,3,2,2,2,2,2,2,2,2,4,2,4,4,2,4,2,3,2,2,1,2,4,3,2,3,2,2,1,4,1,4,1,1,2,2,2,4,1,4,2,3,1,5,5,5,5,1,4,1,1,2,1,1,1,2,2,4,2,3,3,1,3,1,2,5,5,2,2,5,4,3,4,5,4,4,1,2,1,3,1,3,1,4,4,3,5,3,1,3,5,1,3,1,5,5,7,5,5,5,2,5,2,27,"White/Caucasian/European American","","Female","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",7,4,"Upper-Middleincome","$75,001 -
$100,000","Yes","Middleincome","$50,001 -
$75,000","Yes","shown pictures, asked about how much mnoey would give based on expected return of partial money","1",7,6,0,0,0,0,1
"58","R_2rYDBKW5T7zbG0x",1,"2-b","$1","9.451",1,2.622,2,2.149,0,"9.813",2,3.88,3,3.236,2,2.987,2,9.663,2,6.401,1,2.496,2,5.464,3,1.806,2,11.765,1,4.701,1,3.017,2,2.75,0,1.741,3,3.654,2,4.302,0,4.253,2,3.12,2,3.001,1,3.028,1,2.014,2,1.74,3,1.724,3,1.552,4,1.746,2,1.855,2,1.814,1,2.134,3,4.346,0,3.963,2,3.249,1,2.212,2,4.556,1,4.445,5,4,5,4,3,4,4,5,5,3,1,4,3,3,5,6,2,4,6,4,4,4,4,4,4,6,5,4,2,5,4,2,6,5,3,3,4,4,5,4,3,4,3,3,5,5,4,5,2,2,4,2,6,5,5,4,5,5,3,2,2,6,5,2,1,5,3,2,6,5,2,4,6,4,5,4,3,3,2,6,5,4,1,4,4,3,3,3,5,5,5,4,5,4,3,3,3,3,5,5,4,5,2,2,5,6,2,4,5,3,5,6,2,2,2,6,6,4,1,5,4,2,3,3,3,5,6,4,5,4,3,3,2,6,5,4,1,5,4,3,5,5,3,4,5,4,5,5,3,4,3,4,5,6,1,3,5,3,4,3,5,6,2,2,3,2,4,3,3,3,3,3,2,1,3,2,4,2,2,2,3,2,3,3,3,1,3,2,3,3,2,2,3,3,1,1,4,1,3,3,2,4,5,1,1,2,3,4,2,4,1,3,1,5,2,5,1,1,1,4,1,5,3,3,1,3,1,4,5,4,4,1,3,1,1,1,1,1,1,1,2,0,2,4,3,1,2,1,3,4,3,3,4,1,2,4,4,3,3,4,5,3,3,2,1,2,4,3,3,4,2,1,2,4,1,2,4,1,2,6,5,6,6,3,3,2,4,23,"White/Caucasian/European American","","Male","","Heterosexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",3,5,"Lower-Middleincome","$50,001 -
$75,000","Yes","Lower-Middleincome","$30,001 - $40,000","No","","4",6,4,1,0,0,0,0
"59","R_O42P07GGe14CEOR",1,"4-a","$2","20.137",3,8.929,4,7.844,3,"4.935",3,5.167,4,6.879,3,6.143,2,9.6,3,7.641,3,5.689,2,16.462,3,8.297,3,11.158,1,7.965,3,3.732,4,4.3,1,4.443,6,9.472,4,5.764,2,9.976,3,6.363,4,9.696,2,8.986,3,7.566,3,3.501,2,7.544,4,7.165,3,8.366,3,5.581,0,5.663,3,5.809,1,8.23,3,4.828,4,12.595,2,5.392,3,4.341,3,8.211,7,6,5,6,2,4,3,6,7,4,3,4,5,5,3,3,5,4,2,5,3,3,4,6,4,6,4,4,4,4,4,5,2,2,6,5,3,5,5,2,4,4,5,2,3,2,6,3,1,6,4,6,5,1,5,4,5,6,3,2,1,7,7,3,4,5,2,1,7,7,3,2,5,5,5,4,5,4,5,7,4,4,2,3,2,4,2,5,4,3,4,2,3,6,3,1,2,5,6,1,4,3,2,4,5,3,6,2,7,4,6,7,2,2,2,6,7,4,2,5,5,2,3,6,4,4,3,5,3,3,4,5,6,6,3,5,3,5,6,3,3,3,5,6,5,4,4,6,1,2,2,5,6,5,6,5,4,3,2,3,7,5,2,2,4,4,4,3,2,1,2,5,4,3,2,3,4,4,4,2,1,1,3,4,3,2,2,1,1,2,1,1,2,1,3,1,3,4,1,5,1,4,2,1,1,2,4,3,2,4,2,3,1,5,3,4,1,2,1,5,1,5,2,4,1,3,1,4,5,5,5,1,3,1,1,1,1,1,1,1,3,4,1,1,2,0,0,0,2,5,5,4,4,3,4,3,5,5,3,5,2,4,1,3,4,4,1,3,5,5,3,3,2,4,2,2,4,2,3,5,5,7,6,4,6,3,2,27,"White/Caucasian/European American","","Female","","Bisexual","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","No","","",5,5,"Middleincome","$50,001 -
$75,000","No","Lowerincome","less than
$10,000","No","","2",6,1,0,1,0,0,0
